Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,3.29928,1948,1908
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,3.71638,4097,4539
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.12861,34826,49256
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.08391,35337,49844
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.06186,35563,50006
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.12861,34826,49783
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.09919,35144,50133
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,3.32659,1433,1715
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,3.7963,3834,4224
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.12861,34826,51215
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.08962,35271,51805
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,3.22704,1546,1527
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,3.91453,4727,4708
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.12861,34826,49192
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.09998,35138,49572
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.08038,35332,49687
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.12861,34826,48974
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.10713,35043,49198
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.08974,35211,49322
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.12861,34826,49626
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.09854,35155,50048
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.08059,35328,50146
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.12861,34826,49493
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.08391,35337,50080
Board size,Win length,Difficulty,Average search depth,Minimax calls,Minimax time
3,3,2,6.06186,35563,50258
